start_ver,end_ver,distance,lambda,original_num,original_days,num,days,P_w,l_w,e_w,matching_probability,aver_final_distance,aver_shared_distance,P_w_err,l_w_err,e_w_err,P_w_err_ratio,e_w_err_ratio,l_w_err_ratio
522,11,4345.993954,0.003872549,79,32,42,25,0.881567561,4754.157365,2143.37214,0.98,4943.3075,2437.447833,0.098432439,189.1501351,294.0756933,0.100441264,0.12064902,0.038263882
68,171,5602.390991,0.00254902,52,30,23,18,0.36365346,5832.334766,953.1270994,0.444444444,5922.578796,1294.614907,0.080790985,90.24402983,341.4878081,0.181779716,0.263775588,0.015237286
314,11,5104.387662,0.010931373,223,39,105,38,0.974255834,5715.995055,3093.91061,0.986842105,5600.452029,3241.831491,0.012586271,115.5430257,147.9208811,0.012754088,0.0456288,0.020631018
302,32,2945.924452,0.004313725,88,35,44,26,0.555527894,3165.745024,1234.679451,0.679487179,3183.787308,1402.951154,0.123959285,18.04228398,168.2717027,0.182430646,0.119941241,0.005666925
48,522,3726.956824,0.007058824,144,38,70,32,0.937190329,4159.995515,2439.80506,1,4182.745271,2846.351068,0.062809671,22.74975539,406.5460079,0.062809671,0.142830592,0.005438953
236,380,2735.644069,0.019705882,402,39,216,39,0.948326347,2934.350414,1644.92472,0.961130536,2905.370977,1826.896179,0.012804189,28.97943681,181.9714591,0.013322008,0.099606897,0.009974436
27,105,5545.006974,0.075196078,1534,39,773,39,0.95491782,5881.184004,3514.089163,0.967222155,5881.074753,3657.67656,0.012304335,0.109251252,143.5873969,0.012721312,0.03925645,1.86E-05
313,6,4201.584601,0.006764706,138,38,73,32,0.852524104,4668.71607,2091.331805,0.782291667,4703.794865,2070.154406,0.070232437,35.07879484,21.17739862,0.089777816,0.010229864,0.007457552
535,380,1908.784077,0.021960784,448,39,231,39,0.846282892,2272.020293,1376.330698,0.888351179,2229.015521,1502.951229,0.042068286,43.00477178,126.6205309,0.047355469,0.084247931,0.019293168
582,347,4674.805657,0.007647059,156,39,86,37,0.971610572,5091.854855,2806.335665,0.977477477,4971.367793,3045.128829,0.005866906,120.487062,238.7931643,0.006002088,0.078418083,0.0242362
