id,start_ver,end_ver,num,days,lambda,total_num,CDF
2370,473,334,61,31,0.002990196,537875,0.606671554
3591,379,596,61,31,0.002990196,537936,0.606740356
2797,367,473,60,31,0.002941176,537996,0.606808031
1769,379,353,60,31,0.002941176,538056,0.606875705
4347,33,723,60,31,0.002941176,538116,0.606943379
4704,243,596,60,31,0.002941176,538176,0.607011053
2852,77,170,60,31,0.002941176,538236,0.607078728
3770,708,196,60,31,0.002941176,538296,0.607146402
3277,84,219,60,31,0.002941176,538356,0.607214076
1496,9,532,60,31,0.002941176,538416,0.607281751
5093,588,328,60,31,0.002941176,538476,0.607349425
6352,196,367,59,31,0.002892157,538535,0.607415971
3375,250,311,59,31,0.002892157,538594,0.607482517
4533,114,335,59,31,0.002892157,538653,0.607549064
2801,26,265,59,31,0.002892157,538712,0.60761561
3342,614,655,59,31,0.002892157,538771,0.607682157
2602,105,117,59,31,0.002892157,538830,0.607748703
3142,514,16,59,31,0.002892157,538889,0.607815249
4990,80,385,59,31,0.002892157,538948,0.607881796
4508,328,394,59,31,0.002892157,539007,0.607948342
3196,3,353,59,31,0.002892157,539066,0.608014888
5242,354,443,59,31,0.002892157,539125,0.608081435
5949,80,347,58,31,0.002843137,539183,0.608146853
3310,48,393,58,31,0.002843137,539241,0.608212272
3677,107,532,58,31,0.002843137,539299,0.60827769
3958,640,230,58,31,0.002843137,539357,0.608343109
1585,9,26,58,31,0.002843137,539415,0.608408527
2398,6,588,58,31,0.002843137,539473,0.608473945
2979,16,236,58,31,0.002843137,539531,0.608539364
3253,123,663,58,31,0.002843137,539589,0.608604782
1808,586,105,58,31,0.002843137,539647,0.608670201
5211,130,141,57,31,0.002794118,539704,0.608734491
5245,163,26,57,31,0.002794118,539761,0.608798782
4880,522,674,57,31,0.002794118,539818,0.608863072
2911,307,224,57,31,0.002794118,539875,0.608927363
4634,354,48,57,31,0.002794118,539932,0.608991654
1147,655,158,57,31,0.002794118,539989,0.609055944
4764,224,265,57,31,0.002794118,540046,0.609120235
3895,522,586,57,31,0.002794118,540103,0.609184525
5269,517,16,56,31,0.002745098,540159,0.609247688
4115,84,68,56,31,0.002745098,540215,0.60931085
4237,313,528,56,31,0.002745098,540271,0.609374013
5131,307,354,56,31,0.002745098,540327,0.609437176
3756,367,3,56,31,0.002745098,540383,0.609500338
3909,558,655,56,31,0.002745098,540439,0.609563501
6810,463,544,56,31,0.002745098,540495,0.609626664
3674,379,48,56,31,0.002745098,540551,0.609689826
5243,130,107,55,31,0.002696078,540606,0.609751861
5489,13,348,55,31,0.002696078,540661,0.609813896
4935,475,14,55,31,0.002696078,540716,0.609875931
4988,130,463,55,31,0.002696078,540771,0.609937965
4629,663,11,55,31,0.002696078,540826,0.61
4559,463,33,55,31,0.002696078,540881,0.610062035
4414,250,354,55,31,0.002696078,540936,0.610124069
5230,310,609,55,31,0.002696078,540991,0.610186104
4480,311,265,55,31,0.002696078,541046,0.610248139
4453,517,105,55,31,0.002696078,541101,0.610310174
4496,353,473,54,31,0.002647059,541155,0.610371081
8270,140,609,54,31,0.002647059,541209,0.610431987
6372,354,347,54,31,0.002647059,541263,0.610492894
2586,529,380,54,31,0.002647059,541317,0.610553801
5783,609,243,54,31,0.002647059,541371,0.610614708
5148,114,334,54,31,0.002647059,541425,0.610675615
5825,331,517,54,31,0.002647059,541479,0.610736522
6331,68,126,54,31,0.002647059,541533,0.610797428
6910,131,723,54,31,0.002647059,541587,0.610858335
3300,84,123,53,31,0.002598039,541640,0.610918114
5984,230,385,53,31,0.002598039,541693,0.610977893
5059,114,582,53,31,0.002598039,541746,0.611037672
6297,16,274,53,31,0.002598039,541799,0.611097451
5694,328,11,53,31,0.002598039,541852,0.61115723
6150,397,328,53,31,0.002598039,541905,0.611217009
5605,535,596,53,31,0.002598039,541958,0.611276788
5050,558,497,52,31,0.00254902,542010,0.611335439
3487,105,605,52,31,0.00254902,542062,0.61139409
2772,582,398,52,31,0.00254902,542114,0.611452741
4858,307,230,52,31,0.00254902,542166,0.611511392
5668,27,673,52,31,0.00254902,542218,0.611570043
3476,529,532,52,31,0.00254902,542270,0.611628694
7368,121,331,52,31,0.00254902,542322,0.611687345
4248,30,479,52,31,0.00254902,542374,0.611745996
7504,4,404,51,31,0.0025,542425,0.611803519
6020,105,126,51,31,0.0025,542476,0.611861042
2789,280,379,51,31,0.0025,542527,0.611918565
4608,33,14,50,31,0.00245098,542577,0.611974961
7029,145,97,50,31,0.00245098,542627,0.612031356
4958,107,265,50,31,0.00245098,542677,0.612087751
2004,295,123,50,31,0.00245098,542727,0.612144146
5171,558,443,50,31,0.00245098,542777,0.612200541
4210,10,196,50,31,0.00245098,542827,0.612256937
3514,507,27,50,31,0.00245098,542877,0.612313332
5104,394,588,50,31,0.00245098,542927,0.612369727
3546,26,10,49,31,0.002401961,542976,0.612424994
6256,114,107,49,31,0.002401961,543025,0.612480262
5421,10,121,49,31,0.002401961,543074,0.612535529
5291,30,31,49,31,0.002401961,543123,0.612590796
4377,27,593,49,31,0.002401961,543172,0.612646064
3528,404,105,48,31,0.002352941,543220,0.612700203
6180,131,141,47,31,0.002303922,543267,0.612753215
4512,230,439,47,31,0.002303922,543314,0.612806226
7277,224,414,47,31,0.002303922,543361,0.612859238
5357,230,22,46,31,0.002254902,543407,0.612911121
5839,313,543,46,31,0.002254902,543453,0.612963005
2998,638,123,46,31,0.002254902,543499,0.613014888
6286,535,31,46,31,0.002254902,543545,0.613066772
5069,393,473,45,31,0.002205882,543590,0.613117528
5461,33,97,45,31,0.002205882,543635,0.613168283
6224,236,689,44,31,0.002156863,543679,0.613217911
4996,562,380,44,31,0.002156863,543723,0.613267539
5891,655,596,43,31,0.002107843,543766,0.613316039
3594,10,723,43,31,0.002107843,543809,0.613364539
5276,311,242,40,31,0.001960784,543849,0.613409655
7787,663,22,39,31,0.001911765,543888,0.613453643
9526,97,250,39,31,0.001911765,543927,0.613497631
9130,383,655,35,31,0.001715686,543962,0.613537108
2749,348,723,108,30,0.005294118,544070,0.613658922
4075,535,48,89,30,0.004362745,544159,0.613759305
2522,393,353,88,30,0.004313725,544247,0.613858561
2435,224,84,85,30,0.004166667,544332,0.613954433
1388,443,394,84,30,0.004117647,544416,0.614049177
2509,193,31,84,30,0.004117647,544500,0.614143921
4264,230,463,83,30,0.004068627,544583,0.614237537
2100,609,331,83,30,0.004068627,544666,0.614331153
3077,224,689,82,30,0.004019608,544748,0.614423641
4070,68,107,82,30,0.004019608,544830,0.614516129
3577,367,535,81,30,0.003970588,544911,0.614607489
2938,204,33,80,30,0.003921569,544991,0.614697722
3106,107,11,80,30,0.003921569,545071,0.614787954
2399,379,10,79,30,0.003872549,545150,0.614877058
5017,131,689,79,30,0.003872549,545229,0.614966163
2241,123,379,79,30,0.003872549,545308,0.615055267
2864,6,68,78,30,0.003823529,545386,0.615143244
1177,9,655,78,30,0.003823529,545464,0.61523122
3078,56,367,77,30,0.00377451,545541,0.615318069
3601,473,250,76,30,0.00372549,545617,0.61540379
3609,230,97,76,30,0.00372549,545693,0.61548951
4243,427,27,76,30,0.00372549,545769,0.615575231
2020,32,588,76,30,0.00372549,545845,0.615660952
2842,498,310,76,30,0.00372549,545921,0.615746673
4527,230,264,76,30,0.00372549,545997,0.615832393
2682,397,16,76,30,0.00372549,546073,0.615918114
3303,6,723,75,30,0.003676471,546148,0.616002707
2919,107,498,75,30,0.003676471,546223,0.6160873
3639,609,394,74,30,0.003627451,546297,0.616170765
4735,22,498,74,30,0.003627451,546371,0.61625423
2395,32,97,74,30,0.003627451,546445,0.616337695
1788,11,582,74,30,0.003627451,546519,0.616421159
2599,302,313,74,30,0.003627451,546593,0.616504624
4947,348,34,74,30,0.003627451,546667,0.616588089
674,302,34,73,30,0.003578431,546740,0.616670426
5139,517,473,73,30,0.003578431,546813,0.616752763
4042,348,334,72,30,0.003529412,546885,0.616833972
4423,48,479,72,30,0.003529412,546957,0.616915182
3562,3,397,72,30,0.003529412,547029,0.616996391
3454,10,596,72,30,0.003529412,547101,0.6170776
2143,6,479,72,30,0.003529412,547173,0.617158809
2703,145,105,72,30,0.003529412,547245,0.617240018
3069,367,84,71,30,0.003480392,547316,0.617320099
1018,30,20,71,30,0.003480392,547387,0.61740018
2149,498,26,71,30,0.003480392,547458,0.617480262
2153,123,311,71,30,0.003480392,547529,0.617560343
1196,501,158,70,30,0.003431373,547599,0.617639296
5182,230,130,70,30,0.003431373,547669,0.617718249
3684,463,310,70,30,0.003431373,547739,0.617797203
3398,3,131,70,30,0.003431373,547809,0.617876156
2752,311,328,70,30,0.003431373,547879,0.617955109
2959,380,463,70,30,0.003431373,547949,0.618034063
1448,397,354,70,30,0.003431373,548019,0.618113016
