id,start_ver,end_ver,num,days,lambda,total_num,CDF
231,313,380,282,39,0.013823529,161711,0.182394541
511,236,397,282,39,0.013823529,161993,0.18271261
227,32,68,282,38,0.013823529,162275,0.183030679
508,588,310,281,39,0.01377451,162556,0.18334762
582,68,380,280,38,0.01372549,162836,0.183663433
414,335,3,280,38,0.01372549,163116,0.183979247
475,354,27,280,38,0.01372549,163396,0.18429506
462,582,522,278,39,0.013627451,163674,0.184608617
431,314,196,278,39,0.013627451,163952,0.184922175
430,27,264,278,39,0.013627451,164230,0.185235732
367,105,95,278,39,0.013627451,164508,0.185549289
291,582,16,278,39,0.013627451,164786,0.185862847
278,6,27,278,39,0.013627451,165064,0.186176404
488,380,393,275,39,0.013480392,165339,0.186486578
405,311,16,274,39,0.013431373,165613,0.186795624
409,335,68,274,39,0.013431373,165887,0.18710467
174,9,473,274,39,0.013431373,166161,0.187413715
584,27,398,274,38,0.013431373,166435,0.187722761
280,105,588,273,39,0.013382353,166708,0.188030679
708,130,32,273,39,0.013382353,166981,0.188338597
548,68,335,273,39,0.013382353,167254,0.188646515
449,80,582,272,39,0.013333333,167526,0.188953305
407,588,105,272,39,0.013333333,167798,0.189260095
354,77,107,271,39,0.013284314,168069,0.189565757
402,105,236,270,39,0.013235294,168339,0.189870291
457,314,131,269,39,0.013186275,168608,0.190173697
349,105,48,269,39,0.013186275,168877,0.190477104
239,582,335,269,39,0.013186275,169146,0.19078051
300,674,27,269,39,0.013186275,169415,0.191083916
424,380,473,269,39,0.013186275,169684,0.191387322
489,204,27,269,37,0.013186275,169953,0.191690729
939,230,68,268,39,0.013137255,170221,0.191993007
663,663,582,268,39,0.013137255,170489,0.192295285
559,27,196,268,39,0.013137255,170757,0.192597564
514,224,10,268,39,0.013137255,171025,0.192899842
315,473,123,267,39,0.013088235,171292,0.193200993
102,32,314,267,39,0.013088235,171559,0.193502143
308,314,689,266,39,0.013039216,171825,0.193802166
307,105,84,266,39,0.013039216,172091,0.194102188
413,588,224,265,39,0.012990196,172356,0.194401083
370,3,314,265,39,0.012990196,172621,0.194699977
725,380,586,265,39,0.012990196,172886,0.194998872
690,48,314,264,39,0.012941176,173150,0.195296639
579,68,473,264,39,0.012941176,173414,0.195594406
395,77,529,263,39,0.012892157,173677,0.195891044
243,582,331,263,39,0.012892157,173940,0.196187683
419,614,27,263,39,0.012892157,174203,0.196484322
572,380,596,262,39,0.012843137,174465,0.196779833
774,380,250,262,39,0.012843137,174727,0.197075344
415,588,380,261,39,0.012794118,174988,0.197369727
