,re_lam_s_d,ab_lam_s_d,re_lam_n_a,ab_lam_n_a,re_lam_s,ab_lam_s,re_P_s_1,ab_P_s_1,re_P_s_e,ab_P_s_e,re_P_n_0,ab_P_n_0
27,0.16365982946639365,0.000849206385970698,0.16365982946639365,0.00025122138309531614,0.04791812213123833,0.033852058048749356,0.03594168513116858,0.009203617079991622,0.22543444003992025,0.0014405176276218526,0.0483945114629213,0.021889317193840574
28,0.177082489381129,0.0011188461322489095,0.177082489381129,0.0003221986063523651,0.03689015747471722,0.025074500637510377,0.04603535061427094,0.012039934784680018,0.16365982946639382,0.0015528987771566277,0.03437102550598029,0.016025333670448227
29,0.2201468698377281,0.0008193557159049854,0.2201468698377281,0.00027943183154268986,0.03164327994610102,0.02270824003812666,0.035354104939408305,0.009060898700316344,0.177082489381129,0.0018503484093176994,0.0312894709112988,0.014291996929570616
30,0.1416284340154538,0.000731327571294297,0.1416284340154538,0.00023050628352192393,0.038387004455305226,0.026713379026722883,0.030325459805373923,0.008198067184038038,0.22014686983772797,0.0013997708425819953,0.03545478837085587,0.016796531352269883
31,0.1751360802687885,0.0008582149961667597,0.1751360802687885,0.00024404116107680594,0.03152398243882604,0.022949196886431933,0.0368079213408316,0.009528334379708459,0.14162843401545377,0.00130980395486157,0.030694425778514774,0.014274660120677796
32,0.15312798866398364,0.0007294735470689262,0.15312798866398364,0.0002341660882705359,0.028276648276929564,0.02023545422100037,0.030212297981341674,0.00824056886975999,0.17513608026878852,0.0014500652609816742,0.026140931681268652,0.012422684879096257
33,0.15087779131021167,0.0006343387150989331,0.15087779131021167,0.00020153709489067594,0.029218026959449882,0.021577050378745355,0.027024186745472488,0.007289044691414448,0.1531279886639837,0.0012414337806743864,0.028600759836930723,0.013205717905472758
34,0.12751263108794475,0.00067394921700294,0.12751263108794475,0.00019825789311940165,0.02746258923358872,0.019853493219419205,0.027989494538022512,0.007720498517817975,0.1508777913102117,0.0011176929901114546,0.02506093879721595,0.012023197689208898
35,0.14769453911200603,0.0006133495490678632,0.14769453911200603,0.0001914939547386918,0.02353464980656742,0.017681547538934472,0.02625354374015718,0.0071254823299771175,0.12751263108794478,0.0011553419108334857,0.022654919411947947,0.010593124955149413
36,0.11597135743536313,0.0005400000051205243,0.11597135743536313,0.00017113936715489747,0.024041354876492737,0.017711886629913742,0.022495584055616028,0.006362633241935756,0.14769453911200617,0.001046705667732021,0.022166825547120017,0.010573590577142356
37,0.12279537957868124,0.0005387311113925382,0.12279537957868124,0.00016234995072337242,0.02206215945458501,0.016744097151419224,0.022965913124059056,0.0063508102372452635,0.11597135743536313,0.0009419561726313475,0.02112143520508834,0.009925495809907314
