id,pair_id,class,description,block,length,head_ver,tail_ver,polyline
1640,1639.0,1,二级route 299's segment,[0],475.12450922118944,102,701,"[[110.26915420000007, 20.01204080276499], [110.26915420000007, 20.012247300000023], [110.26915310000005, 20.01631370000008], [110.26915310000005, 20.01631370000008]]"
1641,1642.0,1,二级route 300's segment,[7],449.21344272502984,66,703,"[[110.27102959511753, 20.0120881322996], [110.27148700000005, 20.008911300000033], [110.27148700000005, 20.00807720000007]]"
1642,1641.0,1,二级route 300's segment,[7],449.21344272502984,703,66,"[[110.27148700000005, 20.00807720000007], [110.27148700000005, 20.008911300000033], [110.27102959511753, 20.0120881322996]]"
1643,1644.0,1,二级route 301's segment,[0],288.50076956749535,182,701,"[[110.26648, 20.01569890000003], [110.26677130000003, 20.01569890000003], [110.26915310000005, 20.01631370000008]]"
1644,1643.0,1,二级route 301's segment,[0],288.50076956749535,701,182,"[[110.26915310000005, 20.01631370000008], [110.26677130000003, 20.01569890000003], [110.26648, 20.01569890000003]]"
1645,1646.0,1,二级route 301's segment,[0],209.71807292433064,701,704,"[[110.26915310000005, 20.01631370000008], [110.26915310000005, 20.01631370000008], [110.27114830000006, 20.016520400000058]]"
1646,1645.0,1,二级route 301's segment,[0],209.71807292433064,704,701,"[[110.27114830000006, 20.016520400000058], [110.26915310000005, 20.01631370000008], [110.26915310000005, 20.01631370000008]]"
1647,1648.0,1,二级route 302's segment,[5],255.70067572704298,613,111,"[[110.36117340000006, 20.01969630000003], [110.36185710000008, 20.01978870000006], [110.36237300000006, 20.019988300000033], [110.36327580000007, 20.020530000000075], [110.36340341258737, 20.020530000000075]]"
1648,1647.0,1,二级route 302's segment,[5],255.70067572704298,111,613,"[[110.36340341258737, 20.020530000000075], [110.36327580000007, 20.020530000000075], [110.36237300000006, 20.019988300000033], [110.36185710000008, 20.01978870000006], [110.36117340000006, 20.01969630000003]]"
1649,1650.0,1,二级route 303's segment,[19],436.2291986845354,352,239,"[[110.355124, 20.003265], [110.35557350000006, 20.00383370000004], [110.35884344063163, 20.004778754348322]]"
1650,1649.0,1,二级route 303's segment,[19],436.2291986845354,239,352,"[[110.35884344063163, 20.004778754348322], [110.35557350000006, 20.00383370000004], [110.355124, 20.003265]]"
1651,1652.0,1,二级route 304's segment,[19],323.3597958612473,542,499,"[[110.34541140000006, 19.992539900000065], [110.34563590000006, 19.99218430000003], [110.34580400000006, 19.991824400000052], [110.34589270000005, 19.991508400000054], [110.34596740000008, 19.99094230000004], [110.34607910000007, 19.989742600000067]]"
1652,1651.0,1,二级route 304's segment,[19],323.3597958612473,499,542,"[[110.34607910000007, 19.989742600000067], [110.34596740000008, 19.99094230000004], [110.34589270000005, 19.991508400000054], [110.34580400000006, 19.991824400000052], [110.34563590000006, 19.99218430000003], [110.34541140000006, 19.992539900000065]]"
1653,1654.0,1,二级route 305's segment,[16],236.38231131818443,688,705,"[[110.27236730000006, 19.985551500000053], [110.27216070000004, 19.985126500000046], [110.27194300000004, 19.984682600000053], [110.27154400000008, 19.983891700000026], [110.27138830000008, 19.983636100000023]]"
1654,1653.0,1,二级route 305's segment,[16],236.38231131818443,705,688,"[[110.27138830000008, 19.983636100000023], [110.27154400000008, 19.983891700000026], [110.27194300000004, 19.984682600000053], [110.27216070000004, 19.985126500000046], [110.27236730000006, 19.985551500000053]]"
1655,1656.0,1,二级route 305's segment,[16],404.43731405756847,705,706,"[[110.27138830000008, 19.983636100000023], [110.27138830000008, 19.983636100000023], [110.26946290000008, 19.984562400000026], [110.26903600000004, 19.984747800000047], [110.26853950000005, 19.985307700000032], [110.26835740000008, 19.985478800000077], [110.26817060000003, 19.985555600000065]]"
1656,1655.0,1,二级route 305's segment,[16],404.43731405756847,706,705,"[[110.26817060000003, 19.985555600000065], [110.26835740000008, 19.985478800000077], [110.26853950000005, 19.985307700000032], [110.26903600000004, 19.984747800000047], [110.26946290000008, 19.984562400000026], [110.27138830000008, 19.983636100000023], [110.27138830000008, 19.983636100000023]]"
1657,1658.0,1,二级route 306's segment,[4],378.59195321582763,364,323,"[[110.34424200000008, 20.03631790000004], [110.34434350000005, 20.036244900000053], [110.34562960000007, 20.036480400000027], [110.34698640000006, 20.03637680000004], [110.34773130000004, 20.036044300000025]]"
1658,1657.0,1,二级route 306's segment,[4],378.59195321582763,323,364,"[[110.34773130000004, 20.036044300000025], [110.34698640000006, 20.03637680000004], [110.34562960000007, 20.036480400000027], [110.34434350000005, 20.036244900000053], [110.34424200000008, 20.03631790000004]]"
1659,1660.0,1,二级route 306's segment,[4],1.2481030674157325,323,707,"[[110.34773130000004, 20.036044300000025], [110.34773130000004, 20.036044300000025], [110.34774210000008, 20.036039500000026]]"
1660,1659.0,1,二级route 306's segment,[4],1.2481030674157325,707,323,"[[110.34774210000008, 20.036039500000026], [110.34773130000004, 20.036044300000025], [110.34773130000004, 20.036044300000025]]"
1661,1662.0,1,二级route 307's segment,[16],188.08750479467966,625,705,"[[110.27298230000004, 19.982850600000074], [110.27279920000008, 19.982941200000038], [110.27207900000003, 19.983290400000055], [110.27138830000008, 19.983636100000023]]"
1662,1661.0,1,二级route 307's segment,[16],188.08750479467966,705,625,"[[110.27138830000008, 19.983636100000023], [110.27207900000003, 19.983290400000055], [110.27279920000008, 19.982941200000038], [110.27298230000004, 19.982850600000074]]"
1663,1664.0,1,二级route 308's segment,[17],242.97648221333958,630,125,"[[110.28244550000007, 19.993819400000074], [110.28195029898332, 19.995954413929717]]"
1664,1663.0,1,二级route 308's segment,[17],242.97648221333958,125,630,"[[110.28195029898332, 19.995954413929717], [110.28244550000007, 19.993819400000074]]"
1665,1666.0,1,二级route 309's segment,[17],505.27174218878736,195,708,"[[110.28017818901098, 19.989363800000046], [110.28056570000008, 19.989363800000046], [110.28501350000006, 19.98937030000003]]"
1666,1665.0,1,二级route 309's segment,[17],505.27174218878736,708,195,"[[110.28501350000006, 19.98937030000003], [110.28056570000008, 19.989363800000046], [110.28017818901098, 19.989363800000046]]"
1667,1668.0,1,二级route 310's segment,[17],1.919671639168819,709,619,"[[110.282391, 19.982511], [110.28240140266094, 19.982496770851988]]"
1668,1667.0,1,二级route 310's segment,[17],1.919671639168819,619,709,"[[110.28240140266094, 19.982496770851988], [110.282391, 19.982511]]"
1669,1670.0,1,二级route 310's segment,[17],698.346237399228,619,174,"[[110.28240140266094, 19.982496770851988], [110.28244510000003, 19.982437000000072], [110.28245610000006, 19.982173400000033], [110.28236750000003, 19.98089170000004], [110.28229030000007, 19.979983400000048], [110.28223440000006, 19.979192200000067], [110.28220280000006, 19.978785000000027], [110.28211670000003, 19.977675500000043], [110.28199060000004, 19.976414400000078], [110.28199060000004, 19.976246265253447]]"
